PC,MIN
KNOX-T3,298852
KNOX-T3,298852
KNOX-T3,298851
KNOX-T3,298847
KNOX-T3,298748
KNOX-T3,298748
KNOX-T3,298742
KNOX-T3,298734
KNOX-T3,298733
LEE-T1,299989
LEE-T1,299985
LEE-T1,299927
LEE-T1,299927
LEE-T1,299927
LEE-T1,299920
LEE-T1,299910
LEE-T1,299910
LEE-T1,299907
LEE-T1,299903
LEE-T1,299761
LEE-T1,299761
LEE-T1,299525
LEE-T1,299525
LEE-T1,299381
LEE-T1,299381
LEE-T1,299138
LEE-T1,298433
LEE-T1,298433
LEE-T1,298430
LEE-T1,298430
LEE-T1,298200
LEE-T1,298200
LEE-T1,298197
LEE-T1,298197
LEE-T1,297874
LEE-T1,297874
LEE-T1,297809
LEE-T1,297809
LEE-T1,297804
LEE-T1,297804
LEE-T1,297418
LEE-T1,297405
LEE-T1,297253
LEE-T1,297253
LEE-T1,297062
LEE-T1,297061
LEE-T1,296769
LEE-T1,296761
LEE-T1,296761
LEE-T2,299778
LEE-T2,299778
LEE-T2,298454
LEE-T2,298454
LEE-T2,298454
OTJAG-E1,299998
PRESD-T1,299994
PRESD-T1,299671
PRESD-T1,298651
PRESD-T1,298651
RILEY-T2,299778
RILEY-T2,299702
RILEY-T2,299702
RILEY-T2,299205
RILEY-T2,299204
RUCKR-T1,299992
RUCKR-T1,299991
RUCKR-T1,299988
RUCKR-T1,299955
RUCKR-T1,299955
RUCKR-T1,299949
RUCKR-T1,299949
RUCKR-T1,299881
RUCKR-T1,299881
RUCKR-T1,299846
RUCKR-T1,299846
RUCKR-T1,299829
RUCKR-T1,299758
RUCKR-T1,299758
SETAF-T1,299995
SETAF-T1,299995
SETAF-T1,299984
SETAF-T1,299984
SETAF-T1,299984
SETAF-T1,299984
SETAF-T1,299984
SETAF-T1,299984
SETAF-T1,298771
SETAF-T1,298771
SILL-T1,299995
SILL-T1,299995
SILL-T1,299985
SILL-T1,299923
SILL-T1,299655
SILL-T1,299464
SILL-T1,299278
SILL-T1,299278
SILL-T1,298407
SILL-T1,298407
SQWEEB1,299994
SQWEEB2,299972
SQWEEB2,299972
STWRT-T1,299446
STWRT-T1,297394
STWRT-T1,295820
STWRT-T1,294129
STWRT-T2,297624
STWRT-T2,294746
STWRT-T3,299988
STWRT-T3,299988
STWRT-T3,299337
STWRT-T3,299337
STWRT-T3,299337
TJAGL-T10,299908
TJAGL-T10,299908
TJAGL-T10,299893
TJAGL-T10,299888
TJAGL-T10,299814
TJAGL-T10,299692
TJAGL-T10,299924
TJAGL-T10,299801
TJAGL-T10,299771
TJAGL-T10,299924
TJAGL-T10,299814
TJAGL-T10,299814
TJAGL-T10,299802
TJAGL-T10,299802
TJAGL-T10,299771
TJAGL-T10,299863
TJAGL-T10,299863
TJAGL-T10,299783
TJAGL-T10,299839
TJAGL-T10,299839
TJAGL-T10,299783
TJAGL-T10,299783
TJAGL-T10,299839
TJAGL-T10,299783
TJAGL-T10,299757
TJAGL-T10,299757
TJAGL-T10,299733
TJAGL-T10,299839
TJAGL-T10,299733
TJAGL-T10,299698
TJAGL-T10,299783
TJAGL-T10,299783
TJAGL-T10,299771
TJAGL-T11,299996
TJAGL-T11,299994
TJAGL-T11,299974
TJAGL-T11,299962
TJAGL-T11,299937
TJAGL-T11,299887
TJAGL-T11,299868
TJAGL-T11,299862
TJAGL-T11,299856
TJAGL-T11,299856
TJAGL-T11,299856
TJAGL-T11,299844
TJAGL-T11,299817
TJAGL-T11,299817
TJAGL-T12,299991
TJAGL-T12,299968
TJAGL-T12,299944
TJAGL-T12,299893
TJAGL-T12,299889
TJAGL-T12,299889
TJAGL-T12,299841
TJAGL-T12,299834
TJAGL-T12,299834
TJAGL-T12,299806
TJAGL-T13,299995
TJAGL-T13,299991
TJAGL-T14,299983
TJAGL-T14,299983
TJAGL-T14,299972
TJAGL-T14,299967
TJAGL-T15,299875
TJAGL-T15,299875
TJAGL-T15,299875
TJAGL-T3,299969
TJAGL-T3,299969
TJAGL-T4,299966
TJAGL-T4,299928
TJAGL-T5,299991
TJAGL-T5,299991
TJAGL-T6,299990
TJAGL-T6,299990
TJAGL-T6,299982
TJAGL-T6,299813
